Genre,Accuracy,Loss,F1,Precision,Recall,Balanced Accuracy,Specificity,Geometric Mean,Hamming,0/1
Ambient,0.707,10.567,0.05,0.029,0.197,0.462,0.728,0.379,,
Classical,0.768,8.365,0.059,0.034,0.217,0.502,0.787,0.413,,
Dance,0.588,14.85,0.1,0.056,0.436,0.516,0.596,0.51,,
Electronic,0.564,15.73,0.342,0.277,0.446,0.525,0.603,0.519,,
Experimental,0.66,12.248,0.061,0.034,0.294,0.484,0.675,0.445,,
Folk,0.798,7.265,0.057,0.034,0.169,0.496,0.822,0.373,,
Hip-Hop,0.554,16.071,0.328,0.309,0.35,0.498,0.646,0.476,,
Industrial & Noise,0.671,11.868,0.057,0.033,0.214,0.454,0.693,0.385,,
Jazz,0.703,10.707,0.029,0.015,0.296,0.503,0.709,0.458,,
Metal,0.78,7.925,0.104,0.071,0.198,0.509,0.82,0.403,,
Pop,0.398,21.714,0.257,0.158,0.691,0.518,0.345,0.489,,
Psychedelia,0.65,12.608,0.113,0.07,0.294,0.487,0.679,0.447,,
Punk,0.732,9.666,0.04,0.023,0.143,0.449,0.756,0.329,,
R&B,0.484,18.592,0.087,0.047,0.571,0.526,0.48,0.524,,
Rock,0.566,15.65,0.276,0.231,0.342,0.49,0.637,0.467,,
Singer-Songwriter,0.692,11.087,0.048,0.026,0.304,0.503,0.703,0.462,,
Aggregated,0.645,12.807,0.162,0.104,0.376,0.524,0.672,0.503,0.355,0.0
