Genre,Accuracy,Loss,F1,Precision,Recall,Balanced Accuracy,Specificity,Geometric Mean,Hamming,0/1
Ambient,0.864,4.903,0.039,0.027,0.07,0.483,0.897,0.251,,
Classical,0.741,9.326,0.041,0.023,0.167,0.464,0.761,0.356,,
Dance,0.663,12.148,0.106,0.062,0.383,0.531,0.678,0.51,,
Electronic,0.522,17.231,0.353,0.269,0.514,0.519,0.525,0.519,,
Experimental,0.413,21.154,0.07,0.037,0.588,0.497,0.406,0.489,,
Folk,0.522,17.231,0.075,0.04,0.538,0.53,0.521,0.53,,
Hip-Hop,0.522,17.211,0.349,0.303,0.412,0.492,0.572,0.486,,
Industrial & Noise,0.668,11.968,0.074,0.043,0.286,0.486,0.687,0.443,,
Jazz,0.21,28.479,0.031,0.016,0.852,0.526,0.2,0.413,,
Metal,0.629,13.389,0.097,0.058,0.31,0.48,0.65,0.449,,
Pop,0.288,25.657,0.26,0.154,0.827,0.51,0.192,0.399,,
Psychedelia,0.378,22.415,0.149,0.083,0.721,0.535,0.35,0.502,,
Punk,0.477,18.852,0.073,0.039,0.529,0.502,0.475,0.501,,
R&B,0.443,20.093,0.089,0.048,0.636,0.535,0.434,0.525,,
Rock,0.512,17.592,0.337,0.251,0.511,0.512,0.512,0.512,,
Singer-Songwriter,0.536,16.731,0.043,0.023,0.413,0.476,0.539,0.472,,
Aggregated,0.524,17.149,0.162,0.097,0.502,0.514,0.526,0.514,0.476,0.0
