Genre,Accuracy,Loss,F1,Precision,Recall,Balanced Accuracy,Specificity,Geometric Mean,Hamming,0/1
Ambient,0.56,15.85,0.068,0.037,0.408,0.487,0.566,0.481,,
Classical,0.817,6.604,0.041,0.025,0.117,0.479,0.841,0.313,,
Dance,0.484,18.612,0.085,0.047,0.457,0.471,0.485,0.471,,
Electronic,0.548,16.291,0.332,0.265,0.442,0.513,0.584,0.508,,
Experimental,0.453,19.733,0.057,0.031,0.441,0.447,0.453,0.447,,
Folk,0.917,3.002,0.013,0.011,0.015,0.483,0.95,0.121,,
Hip-Hop,0.529,16.971,0.322,0.291,0.359,0.482,0.606,0.466,,
Industrial & Noise,0.565,15.69,0.086,0.048,0.44,0.506,0.571,0.501,,
Jazz,0.643,12.868,0.027,0.014,0.333,0.491,0.648,0.465,,
Metal,0.622,13.629,0.143,0.084,0.491,0.561,0.631,0.557,,
Pop,0.48,18.732,0.212,0.138,0.463,0.473,0.483,0.473,,
Psychedelia,0.487,18.492,0.13,0.075,0.507,0.496,0.485,0.496,,
Punk,0.498,18.112,0.07,0.038,0.486,0.492,0.498,0.492,,
R&B,0.452,19.753,0.078,0.042,0.545,0.497,0.448,0.494,,
Rock,0.52,17.311,0.307,0.236,0.44,0.493,0.545,0.49,,
Singer-Songwriter,0.572,15.41,0.045,0.024,0.391,0.484,0.577,0.475,,
Aggregated,0.572,15.441,0.151,0.092,0.416,0.501,0.587,0.494,0.428,0.0
