Genre,Accuracy,Loss,F1,Precision,Recall,Balanced Accuracy,Specificity,Geometric Mean,Hamming,0/1
Ambient,0.958,1.501,0.0,0.0,0.0,0.499,0.998,0.0,,
Classical,0.967,1.201,0.0,0.0,0.0,0.5,1.0,0.0,,
Dance,0.948,1.881,0.0,0.0,0.0,0.5,1.0,0.0,,
Electronic,0.666,12.048,0.242,0.285,0.21,0.515,0.821,0.415,,
Experimental,0.931,2.482,0.031,0.033,0.029,0.498,0.967,0.169,,
Folk,0.964,1.301,0.0,0.0,0.0,0.5,1.0,0.0,,
Hip-Hop,0.567,15.61,0.351,0.329,0.377,0.515,0.653,0.496,,
Industrial & Noise,0.937,2.281,0.017,0.031,0.012,0.497,0.982,0.108,,
Jazz,0.985,0.54,0.0,0.0,0.0,0.5,1.0,0.0,,
Metal,0.791,7.545,0.1,0.069,0.181,0.507,0.833,0.388,,
Pop,0.849,5.444,0.0,0.0,0.0,0.5,1.0,0.0,,
Psychedelia,0.924,2.722,0.0,0.0,0.0,0.5,1.0,0.0,,
Punk,0.886,4.123,0.019,0.014,0.029,0.474,0.92,0.162,,
R&B,0.957,1.541,0.0,0.0,0.0,0.5,1.0,0.0,,
Rock,0.614,13.929,0.263,0.244,0.284,0.502,0.719,0.452,,
Singer-Songwriter,0.974,0.921,0.0,0.0,0.0,0.5,1.0,0.0,,
Aggregated,0.87,4.692,0.196,0.226,0.173,0.557,0.94,0.403,0.13,0.088
