Genre,Accuracy,Loss,F1,Precision,Recall,Balanced Accuracy,Specificity,Geometric Mean,Hamming,0/1
Ambient,0.724,9.947,0.068,0.039,0.254,0.498,0.743,0.434,,
Classical,0.84,5.784,0.059,0.036,0.15,0.507,0.863,0.36,,
Dance,0.274,26.177,0.093,0.05,0.713,0.481,0.25,0.422,,
Electronic,0.705,10.647,0.169,0.295,0.118,0.511,0.904,0.327,,
Experimental,0.618,13.769,0.065,0.036,0.353,0.491,0.628,0.471,,
Folk,0.744,9.226,0.08,0.046,0.308,0.534,0.76,0.484,,
Hip-Hop,0.488,18.472,0.384,0.307,0.514,0.495,0.475,0.494,,
Industrial & Noise,0.766,8.426,0.079,0.048,0.214,0.504,0.793,0.412,,
Jazz,0.787,7.665,0.02,0.011,0.148,0.473,0.797,0.344,,
Metal,0.241,27.358,0.119,0.064,0.793,0.498,0.203,0.401,,
Pop,0.304,25.096,0.254,0.151,0.783,0.501,0.218,0.414,,
Psychedelia,0.485,18.552,0.123,0.071,0.478,0.482,0.486,0.482,,
Punk,0.36,23.075,0.077,0.041,0.686,0.516,0.347,0.488,,
R&B,0.907,3.362,0.034,0.031,0.039,0.492,0.945,0.192,,
Rock,0.38,22.355,0.359,0.239,0.718,0.495,0.272,0.442,,
Singer-Songwriter,0.517,17.391,0.056,0.03,0.565,0.541,0.516,0.54,,
Aggregated,0.571,15.456,0.17,0.103,0.478,0.529,0.581,0.527,0.429,0.0
