Genre,Accuracy,Loss,F1,Precision,Recall,Balanced Accuracy,Specificity,Geometric Mean,Hamming,0/1
Ambient,0.751,8.966,0.078,0.046,0.268,0.519,0.771,0.454,,
Classical,0.781,7.905,0.057,0.033,0.2,0.5,0.801,0.4,,
Dance,0.372,22.635,0.084,0.046,0.553,0.458,0.362,0.448,,
Electronic,0.635,13.149,0.261,0.269,0.254,0.509,0.765,0.441,,
Experimental,0.705,10.627,0.067,0.038,0.279,0.501,0.722,0.449,,
Folk,0.691,11.127,0.067,0.038,0.308,0.507,0.706,0.466,,
Hip-Hop,0.549,16.271,0.328,0.305,0.354,0.495,0.637,0.474,,
Industrial & Noise,0.179,29.579,0.091,0.048,0.881,0.513,0.145,0.357,,
Jazz,0.686,11.327,0.031,0.016,0.333,0.512,0.691,0.48,,
Metal,0.81,6.865,0.05,0.037,0.078,0.469,0.86,0.258,,
Pop,0.715,10.287,0.179,0.158,0.206,0.505,0.805,0.407,,
Psychedelia,0.433,20.433,0.134,0.076,0.581,0.501,0.421,0.495,,
Punk,0.723,9.987,0.053,0.031,0.2,0.472,0.744,0.386,,
R&B,0.434,20.413,0.089,0.048,0.649,0.537,0.424,0.525,,
Rock,0.563,15.75,0.25,0.214,0.3,0.474,0.647,0.441,,
Singer-Songwriter,0.724,9.947,0.053,0.029,0.304,0.52,0.735,0.473,,
Aggregated,0.609,14.079,0.134,0.084,0.33,0.484,0.638,0.459,0.391,0.0
